Branch_Name,City,Cal_Year_Month,Cal_Month_Name,Cal_Year,Total_Orders,Total_Revenue,Avg_Order_Value,Gross_Margin,Gross_Margin_Pct,Total_Returns,Return_Rate_Pct
"Ipoh 88 Speedmart","Ipoh",2025-01,"January",2025,59,2279.7,38.64,640.82,28.1,10,16.95
"Ipoh 88 Speedmart","Ipoh",2025-02,"February",2025,40,2228,55.7,589.05,26.4,6,15
"Ipoh 88 Speedmart","Ipoh",2025-03,"March",2025,58,2066.82,35.63,562.77,27.2,8,13.79
"Ipoh 88 Speedmart","Ipoh",2025-04,"April",2025,49,1686.96,34.43,483.32,28.7,4,8.16
"Ipoh 88 Speedmart","Ipoh",2025-05,"May",2025,49,1426.48,29.11,412.06,28.9,4,8.16
"Ipoh 88 Speedmart","Ipoh",2025-06,"June",2025,70,2831.96,40.46,759.86,26.8,8,11.43
"Ipoh 88 Speedmart","Ipoh",2025-07,"July",2025,55,2188.83,39.8,575.88,26.3,6,10.91
"Ipoh 88 Speedmart","Ipoh",2025-08,"August",2025,57,2451.97,43.02,621.04,25.3,8,14.04
"Ipoh 88 Speedmart","Ipoh",2025-09,"September",2025,47,1813.05,38.58,478.06,26.4,10,21.28
"Ipoh 88 Speedmart","Ipoh",2025-10,"October",2025,52,2490.07,47.89,636.81,25.6,4,7.69
"Ipoh 88 Speedmart","Ipoh",2025-11,"November",2025,71,2774.05,39.07,769.66,27.7,7,9.86
"Ipoh 88 Speedmart","Ipoh",2025-12,"December",2025,113,4234.72,37.48,1135.85,26.8,23,20.35
"Ipoh 88 Speedmart","Ipoh",2026-01,"January",2026,69,2888.4,41.86,809.45,28,9,13.04
"Ipoh 88 Speedmart","Ipoh",2026-02,"February",2026,64,2845.56,44.46,731.03,25.7,10,15.63
"Ipoh 88 Speedmart","Ipoh",2026-03,"March",2026,64,2246.87,35.11,602.42,26.8,13,20.31
"Ipoh 88 Speedmart","Ipoh",2026-04,"April",2026,58,2115.35,36.47,579.78,27.4,10,17.24
"Ipoh 88 Speedmart","Ipoh",2026-05,"May",2026,60,2920.15,48.67,725.03,24.8,7,11.67
"Ipoh 88 Speedmart","Ipoh",2026-06,"June",2026,95,3699.14,38.94,926.4,25,10,10.53
"Johor Bahru 88 Speedmart","Johor Bahru",2021-04,"April",2021,71,2950.96,41.56,1017.42,34.5,4,5.63
"Johor Bahru 88 Speedmart","Johor Bahru",2021-05,"May",2021,100,3273.92,32.74,1167.05,35.6,4,4
"Johor Bahru 88 Speedmart","Johor Bahru",2021-06,"June",2021,106,4199.3,39.62,1483.83,35.3,7,6.6
"Johor Bahru 88 Speedmart","Johor Bahru",2021-07,"July",2021,65,2440.64,37.55,825.33,33.8,8,12.31
"Johor Bahru 88 Speedmart","Johor Bahru",2021-08,"August",2021,79,2671.26,33.81,895.91,33.5,5,6.33
"Johor Bahru 88 Speedmart","Johor Bahru",2021-09,"September",2021,65,2257.09,34.72,754.76,33.4,6,9.23
"Johor Bahru 88 Speedmart","Johor Bahru",2021-10,"October",2021,62,2410.49,38.88,810.49,33.6,4,6.45
"Johor Bahru 88 Speedmart","Johor Bahru",2021-11,"November",2021,70,2504.84,35.78,836.1,33.4,7,10
"Johor Bahru 88 Speedmart","Johor Bahru",2021-12,"December",2021,114,4054.84,35.57,1383.34,34.1,6,5.26
"Johor Bahru 88 Speedmart","Johor Bahru",2022-01,"January",2022,73,2159.95,29.59,702.4,32.5,5,6.85
"Johor Bahru 88 Speedmart","Johor Bahru",2022-02,"February",2022,47,1602.67,34.1,551.8,34.4,3,6.38
"Johor Bahru 88 Speedmart","Johor Bahru",2022-03,"March",2022,59,2371.54,40.2,772.46,32.6,1,1.69
"Johor Bahru 88 Speedmart","Johor Bahru",2022-04,"April",2022,41,1367.8,33.36,442.61,32.4,4,9.76
"Johor Bahru 88 Speedmart","Johor Bahru",2022-05,"May",2022,53,1847.49,34.86,600.57,32.5,7,13.21
"Johor Bahru 88 Speedmart","Johor Bahru",2022-06,"June",2022,70,2228.12,31.83,766.14,34.4,10,14.29
"Johor Bahru 88 Speedmart","Johor Bahru",2022-07,"July",2022,56,1942.15,34.68,637.97,32.8,5,8.93
"Johor Bahru 88 Speedmart","Johor Bahru",2022-08,"August",2022,42,2330.43,55.49,714.98,30.7,4,9.52
"Johor Bahru 88 Speedmart","Johor Bahru",2022-09,"September",2022,46,1598.83,34.76,514.81,32.2,4,8.7
"Johor Bahru 88 Speedmart","Johor Bahru",2022-10,"October",2022,63,2887.08,45.83,885.12,30.7,2,3.17
"Johor Bahru 88 Speedmart","Johor Bahru",2022-11,"November",2022,62,2182.48,35.2,725.54,33.2,8,12.9
"Johor Bahru 88 Speedmart","Johor Bahru",2022-12,"December",2022,116,4511.27,38.89,1401.41,31.1,11,9.48
"Johor Bahru 88 Speedmart","Johor Bahru",2023-01,"January",2023,71,3281.8,46.22,978.74,29.8,5,7.04
"Johor Bahru 88 Speedmart","Johor Bahru",2023-02,"February",2023,24,595.3,24.8,187.9,31.6,3,12.5
"Johor Bahru 88 Speedmart","Johor Bahru",2023-03,"March",2023,50,2037.39,40.75,630.28,30.9,4,8
"Johor Bahru 88 Speedmart","Johor Bahru",2023-04,"April",2023,70,2391.82,34.17,764.32,32,10,14.29
"Johor Bahru 88 Speedmart","Johor Bahru",2023-05,"May",2023,47,1851.95,39.4,565.44,30.5,6,12.77
"Johor Bahru 88 Speedmart","Johor Bahru",2023-06,"June",2023,58,2435.17,41.99,716.85,29.4,5,8.62
"Johor Bahru 88 Speedmart","Johor Bahru",2023-07,"July",2023,51,1671.88,32.78,516.23,30.9,7,13.73
"Johor Bahru 88 Speedmart","Johor Bahru",2023-08,"August",2023,49,1706.66,34.83,514.3,30.1,5,10.2
"Johor Bahru 88 Speedmart","Johor Bahru",2023-09,"September",2023,50,1811.92,36.24,526.31,29,4,8
"Johor Bahru 88 Speedmart","Johor Bahru",2023-10,"October",2023,49,1461.45,29.83,439.96,30.1,5,10.2
"Johor Bahru 88 Speedmart","Johor Bahru",2023-11,"November",2023,70,3250.62,46.44,965.4,29.7,9,12.86
"Johor Bahru 88 Speedmart","Johor Bahru",2023-12,"December",2023,108,4039.26,37.4,1228.58,30.4,9,8.33
"Johor Bahru 88 Speedmart","Johor Bahru",2024-01,"January",2024,51,1741.96,34.16,490.65,28.2,5,9.8
"Johor Bahru 88 Speedmart","Johor Bahru",2024-02,"February",2024,46,1470.46,31.97,434.49,29.5,5,10.87
"Johor Bahru 88 Speedmart","Johor Bahru",2024-03,"March",2024,39,1453.29,37.26,429.8,29.6,6,15.38
"Johor Bahru 88 Speedmart","Johor Bahru",2024-04,"April",2024,49,1695.43,34.6,487.93,28.8,5,10.2
"Johor Bahru 88 Speedmart","Johor Bahru",2024-05,"May",2024,46,2140.86,46.54,609.23,28.5,5,10.87
"Johor Bahru 88 Speedmart","Johor Bahru",2024-06,"June",2024,62,2378.51,38.36,658.92,27.7,7,11.29
"Johor Bahru 88 Speedmart","Johor Bahru",2024-07,"July",2024,61,2702.4,44.3,731.84,27.1,4,6.56
"Johor Bahru 88 Speedmart","Johor Bahru",2024-08,"August",2024,44,1671.52,37.99,477.35,28.6,6,13.64
"Johor Bahru 88 Speedmart","Johor Bahru",2024-09,"September",2024,54,2291.67,42.44,639.7,27.9,8,14.81
"Johor Bahru 88 Speedmart","Johor Bahru",2024-10,"October",2024,49,2082.38,42.5,592.12,28.4,5,10.2
"Johor Bahru 88 Speedmart","Johor Bahru",2024-11,"November",2024,71,3218,45.32,902.94,28.1,5,7.04
"Johor Bahru 88 Speedmart","Johor Bahru",2024-12,"December",2024,123,4858.46,39.5,1346.27,27.7,16,13.01
"Johor Bahru 88 Speedmart","Johor Bahru",2025-01,"January",2025,71,2448.19,34.48,679.83,27.8,12,16.9
"Johor Bahru 88 Speedmart","Johor Bahru",2025-02,"February",2025,58,1827.53,31.51,510.5,27.9,11,18.97
"Johor Bahru 88 Speedmart","Johor Bahru",2025-03,"March",2025,53,2590.47,48.88,708.94,27.4,9,16.98
"Johor Bahru 88 Speedmart","Johor Bahru",2025-04,"April",2025,48,1738.37,36.22,498.32,28.7,10,20.83
"Johor Bahru 88 Speedmart","Johor Bahru",2025-05,"May",2025,51,2114.91,41.47,565.09,26.7,5,9.8
"Johor Bahru 88 Speedmart","Johor Bahru",2025-06,"June",2025,66,2919.58,44.24,801.03,27.4,14,21.21
"Johor Bahru 88 Speedmart","Johor Bahru",2025-07,"July",2025,50,1330.45,26.61,379.9,28.6,5,10
"Johor Bahru 88 Speedmart","Johor Bahru",2025-08,"August",2025,49,1729.7,35.3,466.27,27,6,12.24
"Johor Bahru 88 Speedmart","Johor Bahru",2025-09,"September",2025,58,2292.99,39.53,615.36,26.8,6,10.34
"Johor Bahru 88 Speedmart","Johor Bahru",2025-10,"October",2025,61,2529.21,41.46,676.49,26.7,11,18.03
"Johor Bahru 88 Speedmart","Johor Bahru",2025-11,"November",2025,90,2968.21,32.98,830.44,28,10,11.11
"Johor Bahru 88 Speedmart","Johor Bahru",2025-12,"December",2025,140,5652.56,40.38,1512.2,26.8,15,10.71
"Johor Bahru 88 Speedmart","Johor Bahru",2026-01,"January",2026,52,1947.73,37.46,499.95,25.7,12,23.08
"Johor Bahru 88 Speedmart","Johor Bahru",2026-02,"February",2026,70,2951.86,42.17,762.82,25.8,9,12.86
"Johor Bahru 88 Speedmart","Johor Bahru",2026-03,"March",2026,74,2403.93,32.49,681.74,28.4,9,12.16
"Johor Bahru 88 Speedmart","Johor Bahru",2026-04,"April",2026,51,1792.99,35.16,495.04,27.6,6,11.76
"Johor Bahru 88 Speedmart","Johor Bahru",2026-05,"May",2026,48,1990.06,41.46,530.11,26.6,9,18.75
"Johor Bahru 88 Speedmart","Johor Bahru",2026-06,"June",2026,69,2446.03,35.45,658.07,26.9,18,26.09
"Klang 88 Speedmart","Klang",2021-01,"January",2021,103,3512.94,34.11,1248.88,35.6,4,3.88
"Klang 88 Speedmart","Klang",2021-02,"February",2021,106,3525.02,33.25,1236.77,35.1,8,7.55
"Klang 88 Speedmart","Klang",2021-03,"March",2021,82,3034.51,37.01,1055.21,34.8,7,8.54
"Klang 88 Speedmart","Klang",2021-04,"April",2021,69,2824.14,40.93,961.08,34,4,5.8
"Klang 88 Speedmart","Klang",2021-05,"May",2021,99,3726.3,37.64,1262.59,33.9,2,2.02
"Klang 88 Speedmart","Klang",2021-06,"June",2021,98,4161.77,42.47,1422.03,34.2,8,8.16
"Klang 88 Speedmart","Klang",2021-07,"July",2021,75,2763.42,36.85,911.46,33,8,10.67
"Klang 88 Speedmart","Klang",2021-08,"August",2021,59,2096.99,35.54,751.93,35.9,5,8.47
"Klang 88 Speedmart","Klang",2021-09,"September",2021,69,2741.85,39.74,917.82,33.5,6,8.7
"Klang 88 Speedmart","Klang",2021-10,"October",2021,54,1876.96,34.76,632.81,33.7,6,11.11
"Klang 88 Speedmart","Klang",2021-11,"November",2021,90,3579.78,39.78,1220.19,34.1,5,5.56
"Klang 88 Speedmart","Klang",2021-12,"December",2021,147,5139.78,34.96,1731.03,33.7,7,4.76
"Klang 88 Speedmart","Klang",2022-01,"January",2022,77,3051.7,39.63,1008.13,33,10,12.99
"Klang 88 Speedmart","Klang",2022-02,"February",2022,49,1368.49,27.93,518.78,37.9,5,10.2
"Klang 88 Speedmart","Klang",2022-03,"March",2022,43,1858.61,43.22,583.82,31.4,1,2.33
"Klang 88 Speedmart","Klang",2022-04,"April",2022,44,1471.31,33.44,492.36,33.5,3,6.82
"Klang 88 Speedmart","Klang",2022-05,"May",2022,55,1957.93,35.6,676.24,34.5,4,7.27
"Klang 88 Speedmart","Klang",2022-06,"June",2022,63,3168.98,50.3,1005.09,31.7,11,17.46
"Klang 88 Speedmart","Klang",2022-07,"July",2022,56,1849.39,33.02,611.02,33,2,3.57
"Klang 88 Speedmart","Klang",2022-08,"August",2022,48,1766.08,36.79,570.22,32.3,5,10.42
"Klang 88 Speedmart","Klang",2022-09,"September",2022,50,2664.39,53.29,824.97,31,5,10
"Klang 88 Speedmart","Klang",2022-10,"October",2022,61,3081.38,50.51,919.1,29.8,4,6.56
"Klang 88 Speedmart","Klang",2022-11,"November",2022,69,3085.22,44.71,998.24,32.4,3,4.35
"Klang 88 Speedmart","Klang",2022-12,"December",2022,99,3714.67,37.52,1146.33,30.9,4,4.04
"Klang 88 Speedmart","Klang",2023-01,"January",2023,66,2057.1,31.17,622.06,30.2,15,22.73
"Klang 88 Speedmart","Klang",2023-02,"February",2023,53,1992.64,37.6,602.66,30.2,7,13.21
"Klang 88 Speedmart","Klang",2023-03,"March",2023,59,2091.76,35.45,658.61,31.5,5,8.47
"Klang 88 Speedmart","Klang",2023-04,"April",2023,51,2190.7,42.95,690.18,31.5,9,17.65
"Klang 88 Speedmart","Klang",2023-05,"May",2023,55,1711.37,31.12,537,31.4,2,3.64
"Klang 88 Speedmart","Klang",2023-06,"June",2023,60,2543.93,42.4,766.27,30.1,7,11.67
"Klang 88 Speedmart","Klang",2023-07,"July",2023,49,2016.51,41.15,646.09,32,6,12.24
"Klang 88 Speedmart","Klang",2023-08,"August",2023,49,2175,44.39,660.68,30.4,10,20.41
"Klang 88 Speedmart","Klang",2023-09,"September",2023,39,1835.32,47.06,585.19,31.9,4,10.26
"Klang 88 Speedmart","Klang",2023-10,"October",2023,33,1562.52,47.35,447.57,28.6,6,18.18
"Klang 88 Speedmart","Klang",2023-11,"November",2023,76,2845.9,37.45,855.53,30.1,14,18.42
"Klang 88 Speedmart","Klang",2023-12,"December",2023,86,2573.72,29.93,797.69,31,3,3.49
"Klang 88 Speedmart","Klang",2024-01,"January",2024,61,2325.09,38.12,693.92,29.8,9,14.75
"Klang 88 Speedmart","Klang",2024-02,"February",2024,51,2156.99,42.29,606.71,28.1,9,17.65
"Klang 88 Speedmart","Klang",2024-03,"March",2024,49,2097.02,42.8,593.63,28.3,4,8.16
"Klang 88 Speedmart","Klang",2024-04,"April",2024,55,2403.05,43.69,701.24,29.2,5,9.09
"Klang 88 Speedmart","Klang",2024-05,"May",2024,51,2185.16,42.85,637.23,29.2,5,9.8
"Klang 88 Speedmart","Klang",2024-06,"June",2024,62,2329.23,37.57,665.16,28.6,14,22.58
"Klang 88 Speedmart","Klang",2024-07,"July",2024,58,1956.94,33.74,557.5,28.5,8,13.79
"Klang 88 Speedmart","Klang",2024-08,"August",2024,51,1893.69,37.13,508.94,26.9,4,7.84
"Klang 88 Speedmart","Klang",2024-09,"September",2024,47,1877.42,39.95,524.34,27.9,6,12.77
"Klang 88 Speedmart","Klang",2024-10,"October",2024,47,2277.66,48.46,609.32,26.8,4,8.51
"Klang 88 Speedmart","Klang",2024-11,"November",2024,76,2811.99,37,813.01,28.9,14,18.42
"Klang 88 Speedmart","Klang",2024-12,"December",2024,115,4342.77,37.76,1211.46,27.9,11,9.57
"Klang 88 Speedmart","Klang",2025-01,"January",2025,57,1837.33,32.23,496.29,27,2,3.51
"Klang 88 Speedmart","Klang",2025-02,"February",2025,52,1998.23,38.43,590.92,29.6,5,9.62
"Klang 88 Speedmart","Klang",2025-03,"March",2025,47,1863.97,39.66,493.3,26.5,3,6.38
"Klang 88 Speedmart","Klang",2025-04,"April",2025,38,2074.42,54.59,560.73,27,3,7.89
"Klang 88 Speedmart","Klang",2025-05,"May",2025,44,2067.43,46.99,574.91,27.8,7,15.91
"Klang 88 Speedmart","Klang",2025-06,"June",2025,76,3212.34,42.27,851.27,26.5,12,15.79
"Klang 88 Speedmart","Klang",2025-07,"July",2025,54,2264.34,41.93,622.7,27.5,13,24.07
"Klang 88 Speedmart","Klang",2025-08,"August",2025,57,2291.77,40.21,584.8,25.5,11,19.3
"Klang 88 Speedmart","Klang",2025-09,"September",2025,45,1746.39,38.81,457.92,26.2,10,22.22
"Klang 88 Speedmart","Klang",2025-10,"October",2025,53,2320.15,43.78,620.97,26.8,7,13.21
"Klang 88 Speedmart","Klang",2025-11,"November",2025,81,2762.84,34.11,740.84,26.8,9,11.11
"Klang 88 Speedmart","Klang",2025-12,"December",2025,127,4560.37,35.91,1237.62,27.1,30,23.62
"Klang 88 Speedmart","Klang",2026-01,"January",2026,64,2590.34,40.47,658.98,25.4,12,18.75
"Klang 88 Speedmart","Klang",2026-02,"February",2026,72,3258.7,45.26,831.28,25.5,12,16.67
"Klang 88 Speedmart","Klang",2026-03,"March",2026,92,4808.35,52.26,1221.99,25.4,19,20.65
"Klang 88 Speedmart","Klang",2026-04,"April",2026,58,2106.13,36.31,536.92,25.5,11,18.97
"Klang 88 Speedmart","Klang",2026-05,"May",2026,71,3309.13,46.61,861.27,26,11,15.49
"Klang 88 Speedmart","Klang",2026-06,"June",2026,105,4149.15,39.52,1087.51,26.2,14,13.33
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-01,"January",2023,70,3075.54,43.94,954,31,7,10
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-02,"February",2023,40,1271.44,31.79,409.25,32.2,2,5
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-03,"March",2023,46,1906.05,41.44,579.83,30.4,5,10.87
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-04,"April",2023,61,2707.03,44.38,823.24,30.4,6,9.84
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-05,"May",2023,51,2223.06,43.59,696.92,31.3,5,9.8
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-06,"June",2023,69,2318.89,33.61,758.25,32.7,6,8.7
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-07,"July",2023,54,1842.74,34.12,562.24,30.5,2,3.7
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-08,"August",2023,40,1480.63,37.02,445.19,30.1,3,7.5
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-09,"September",2023,46,1861.77,40.47,554.65,29.8,5,10.87
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-10,"October",2023,52,2491.59,47.92,729.95,29.3,7,13.46
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-11,"November",2023,67,1982.1,29.58,599.18,30.2,5,7.46
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2023-12,"December",2023,100,3944.61,39.45,1191.56,30.2,7,7
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-01,"January",2024,56,1601.13,28.59,469.87,29.3,14,25
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-02,"February",2024,60,2472.78,41.21,704.39,28.5,8,13.33
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-03,"March",2024,43,1328.98,30.91,386.34,29.1,2,4.65
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-04,"April",2024,63,2573.32,40.85,742.25,28.8,5,7.94
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-05,"May",2024,38,900.73,23.7,266.96,29.6,6,15.79
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-06,"June",2024,60,2122.77,35.38,606.98,28.6,5,8.33
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-07,"July",2024,49,2231.36,45.54,607.23,27.2,5,10.2
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-08,"August",2024,39,1876.39,48.11,492.38,26.2,3,7.69
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-09,"September",2024,48,2178.56,45.39,599.09,27.5,8,16.67
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-10,"October",2024,51,1792.21,35.14,504.02,28.1,7,13.73
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-11,"November",2024,69,2403.28,34.83,709.6,29.5,11,15.94
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2024-12,"December",2024,121,5147.25,42.54,1364.79,26.5,9,7.44
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-01,"January",2025,69,2715.11,39.35,726.02,26.7,6,8.7
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-02,"February",2025,36,1202.98,33.42,330.03,27.4,10,27.78
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-03,"March",2025,43,1513.32,35.19,436.61,28.9,4,9.3
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-04,"April",2025,45,1646,36.58,462.31,28.1,11,24.44
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-05,"May",2025,49,1713.59,34.97,510.35,29.8,10,20.41
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-06,"June",2025,69,2825.62,40.95,724.27,25.6,9,13.04
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-07,"July",2025,49,2093.26,42.72,552.8,26.4,5,10.2
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-08,"August",2025,59,2658.89,45.07,671.6,25.3,9,15.25
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-09,"September",2025,57,2569,45.07,662.5,25.8,4,7.02
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-10,"October",2025,60,2092.88,34.88,551.86,26.4,6,10
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-11,"November",2025,91,4121.98,45.3,1044.94,25.4,12,13.19
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2025-12,"December",2025,136,5512.23,40.53,1448.23,26.3,7,5.15
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2026-01,"January",2026,50,1873.49,37.47,487.98,26,6,12
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2026-02,"February",2026,85,3262.16,38.38,853.75,26.2,6,7.06
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2026-03,"March",2026,62,2728.24,44,716.22,26.3,8,12.9
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2026-04,"April",2026,49,1698.77,34.67,451.78,26.6,5,10.2
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2026-05,"May",2026,59,2807.13,47.58,700.9,25,7,11.86
"Kota Kinabalu 88 Speedmart","Kota Kinabalu",2026-06,"June",2026,76,2941.31,38.7,750.46,25.5,7,9.21
"Kuching 88 Speedmart","Kuching",2023-06,"June",2023,2,108.9,54.45,29.89,27.4,0,0
"Kuching 88 Speedmart","Kuching",2023-07,"July",2023,54,2502.91,46.35,736.59,29.4,7,12.96
"Kuching 88 Speedmart","Kuching",2023-08,"August",2023,40,1707.77,42.69,530.4,31.1,4,10
"Kuching 88 Speedmart","Kuching",2023-09,"September",2023,41,1533.15,37.39,456.5,29.8,9,21.95
"Kuching 88 Speedmart","Kuching",2023-10,"October",2023,56,1862.98,33.27,595.85,32,7,12.5
"Kuching 88 Speedmart","Kuching",2023-11,"November",2023,77,3492.76,45.36,1068.96,30.6,9,11.69
"Kuching 88 Speedmart","Kuching",2023-12,"December",2023,116,5147.27,44.37,1536.82,29.9,7,6.03
"Kuching 88 Speedmart","Kuching",2024-01,"January",2024,68,2366.09,34.8,695.58,29.4,6,8.82
"Kuching 88 Speedmart","Kuching",2024-02,"February",2024,62,2203.18,35.54,641.9,29.1,7,11.29
"Kuching 88 Speedmart","Kuching",2024-03,"March",2024,44,1496.21,34,440.97,29.5,10,22.73
"Kuching 88 Speedmart","Kuching",2024-04,"April",2024,34,1443.38,42.45,426.38,29.5,5,14.71
"Kuching 88 Speedmart","Kuching",2024-05,"May",2024,52,2155.76,41.46,616.65,28.6,7,13.46
"Kuching 88 Speedmart","Kuching",2024-06,"June",2024,59,1885.92,31.96,542.28,28.8,9,15.25
"Kuching 88 Speedmart","Kuching",2024-07,"July",2024,49,2627.11,53.61,730,27.8,4,8.16
"Kuching 88 Speedmart","Kuching",2024-08,"August",2024,46,1883.5,40.95,557.63,29.6,7,15.22
"Kuching 88 Speedmart","Kuching",2024-09,"September",2024,43,1441.07,33.51,406.23,28.2,3,6.98
"Kuching 88 Speedmart","Kuching",2024-10,"October",2024,52,2251.91,43.31,633.11,28.1,4,7.69
"Kuching 88 Speedmart","Kuching",2024-11,"November",2024,84,3359.76,40,918.38,27.3,7,8.33
"Kuching 88 Speedmart","Kuching",2024-12,"December",2024,111,4346.14,39.15,1226.23,28.2,13,11.71
"Kuching 88 Speedmart","Kuching",2025-01,"January",2025,74,2558.84,34.58,712.65,27.9,14,18.92
"Kuching 88 Speedmart","Kuching",2025-02,"February",2025,40,2168.4,54.21,544.43,25.1,12,30
"Kuching 88 Speedmart","Kuching",2025-03,"March",2025,61,2453.72,40.22,663.8,27.1,10,16.39
"Kuching 88 Speedmart","Kuching",2025-04,"April",2025,59,1855.31,31.45,533.61,28.8,11,18.64
"Kuching 88 Speedmart","Kuching",2025-05,"May",2025,65,2372.07,36.49,673.97,28.4,11,16.92
"Kuching 88 Speedmart","Kuching",2025-06,"June",2025,78,3268.06,41.9,851.02,26,10,12.82
"Kuching 88 Speedmart","Kuching",2025-07,"July",2025,55,2338.03,42.51,620.29,26.5,6,10.91
"Kuching 88 Speedmart","Kuching",2025-08,"August",2025,48,1713.36,35.7,444.14,25.9,8,16.67
"Melaka 88 Speedmart","Melaka",2022-06,"June",2022,62,2223.11,35.86,724.8,32.6,4,6.45
"Melaka 88 Speedmart","Melaka",2022-07,"July",2022,58,1775.79,30.62,586.81,33,5,8.62
"Melaka 88 Speedmart","Melaka",2022-08,"August",2022,34,1743.66,51.28,536.31,30.8,3,8.82
"Melaka 88 Speedmart","Melaka",2022-09,"September",2022,44,2171.78,49.36,682.9,31.4,4,9.09
"Melaka 88 Speedmart","Melaka",2022-10,"October",2022,58,2349.21,40.5,708.42,30.2,4,6.9
"Melaka 88 Speedmart","Melaka",2022-11,"November",2022,58,1947.79,33.58,608.74,31.3,3,5.17
"Melaka 88 Speedmart","Melaka",2022-12,"December",2022,85,3341.64,39.31,1070.05,32,9,10.59
"Melaka 88 Speedmart","Melaka",2023-01,"January",2023,68,3103.04,45.63,952.86,30.7,7,10.29
"Melaka 88 Speedmart","Melaka",2023-02,"February",2023,47,1333.05,28.36,400.62,30.1,4,8.51
"Melaka 88 Speedmart","Melaka",2023-03,"March",2023,45,1821.41,40.48,559.6,30.7,6,13.33
"Melaka 88 Speedmart","Melaka",2023-04,"April",2023,55,1532.09,27.86,504.61,32.9,3,5.45
"Melaka 88 Speedmart","Melaka",2023-05,"May",2023,55,1993.62,36.25,637.6,32,3,5.45
"Melaka 88 Speedmart","Melaka",2023-06,"June",2023,82,2581.44,31.48,810.62,31.4,5,6.1
"Melaka 88 Speedmart","Melaka",2023-07,"July",2023,52,1937.97,37.27,612.52,31.6,6,11.54
"Melaka 88 Speedmart","Melaka",2023-08,"August",2023,55,2111.47,38.39,640.47,30.3,7,12.73
"Melaka 88 Speedmart","Melaka",2023-09,"September",2023,37,1373.57,37.12,396.37,28.9,3,8.11
"Melaka 88 Speedmart","Melaka",2023-10,"October",2023,43,1867.38,43.43,534.62,28.6,7,16.28
"Melaka 88 Speedmart","Melaka",2023-11,"November",2023,64,2548.37,39.82,766.87,30.1,1,1.56
"Melaka 88 Speedmart","Melaka",2023-12,"December",2023,94,4316.29,45.92,1255.37,29.1,6,6.38
"Melaka 88 Speedmart","Melaka",2024-01,"January",2024,48,1860.72,38.77,529.22,28.4,5,10.42
"Melaka 88 Speedmart","Melaka",2024-02,"February",2024,61,2229.63,36.55,628,28.2,6,9.84
"Melaka 88 Speedmart","Melaka",2024-03,"March",2024,47,1624.37,34.56,462.12,28.4,4,8.51
"Melaka 88 Speedmart","Melaka",2024-04,"April",2024,53,3101.64,58.52,847.96,27.3,8,15.09
"Melaka 88 Speedmart","Melaka",2024-05,"May",2024,36,1546.34,42.95,453.42,29.3,5,13.89
"Melaka 88 Speedmart","Melaka",2024-06,"June",2024,63,2243.22,35.61,672.31,30,8,12.7
